Producto,Tipo de Atributo,Frecuencia
HD Skin Hydra Glow Hydrating Foundation with Hyaluronic Acid,SUN_PROTECTION,1
HD Skin Matte Velvet Blurring Foundation & Setting Powder,NGRAM_ATTRIBUTE,58
HD Skin Matte Velvet Blurring Foundation & Setting Powder,GLOSSY_FINISH,3
HD Skin Matte Velvet Blurring Foundation & Setting Powder,MATTE_FINISH,2
HD Skin Matte Velvet Blurring Foundation & Setting Powder,TEXTURE,2
HD Skin Matte Velvet Blurring Foundation & Setting Powder,OIL_CONTROL,1
HD Skin Matte Velvet Blurring Foundation & Setting Powder,PORE_MINIMIZING,1
HD Skin Shine-Controlling & Blurring Setting Powder,NGRAM_ATTRIBUTE,2
HD Skin Shine-Controlling & Blurring Setting Powder,GLOSSY_FINISH,1
HD Skin Shine-Controlling & Blurring Setting Powder,OIL_CONTROL,1
HD Skin Shine-Controlling & Blurring Setting Powder,PORE_MINIMIZING,1
HD Skin Sponge,NGRAM_ATTRIBUTE,13
HD Skin Sponge,MATTE_FINISH,1
HD Skin Waterproof Natural Matte Foundation,NGRAM_ATTRIBUTE,23
HD Skin Waterproof Natural Matte Foundation,GLOSSY_FINISH,1
HD Skin Waterproof Natural Matte Foundation,HYDRATION_MOISTURE,1
HD Skin Waterproof Natural Matte Foundation,MATTE_FINISH,1
HD Skin Waterproof Natural Matte Foundation,SUN_PROTECTION,1
Hangover 3-in-1 Replenishing Primer & Setting Spray,NGRAM_ATTRIBUTE,2
Hangover 3-in-1 Replenishing Primer & Setting Spray,GLOSSY_FINISH,1
Hangover 3-in-1 Replenishing Primer & Setting Spray,OIL_CONTROL,1
